id;category;name;quantity;price
167425;Motherboard;Asus PRIME A520M-K (AM4, A520, DDR4, USB 3.2, SATA3);45;8.590.000.000
167507;Motherboard;MSI A520M-A Pro (AM4, A520, DDR4, USB 3.2, SATA3);5;8.600.000.000
169324;Motherboard;MSI B550M-A Pro (AM4, AMD Promontory B550, DDR4, USB3.2, SATA3);8;11.400.000.000
175255;Motherboard;ECS H510H6-M2 (LGA1200, Intel H510, DDR4);25;9.450.000.000
184488;Motherboard;Gigabyte A520M K V2 (AM4, A520, DDR4, USB 3.2, SATA3);136;8.300.000.000
187027;Motherboard;Asus PRIME H610M-D (LGA1700, H610, DDR5, USB3.2, SATA3);3;12.100.000.000
189011;Motherboard;MAXSUN B760M GAMING WIFI GANK (LGA1700, B760, DDR5, USB3.2, SATA3);132;16.850.000.000
189012;Motherboard;MAXSUN H610M 666 WIFI6 D5 (LGA1700, H610, DDR5, USB3.2, SATA3);336;13.100.000.000
191190;Motherboard;Asus TUF GAMING X870-PLUS WIFI (AM5, AMD X870, DDR5, USB3.2 Type-C, SATA3);5;60.310.000.000
191367;Motherboard;MAXSUN Terminator B760M GKD5 ICE (LGA1700, B760, DDR5, USB3.2 Type-C, SATA3);12;21.500.000.000
191464;Motherboard;Gigabyte B760M K V2 DDR4 (LGA1700, B760, DDR4, USB3.2, SATA3);27;15.400.000.000
191864;Motherboard;Asus PRIME Z890-P WIFI-CSM (LGA1851, Z890, DDR5, USB3.2 Gen2 Type-C, SATA3);4;52.900.000.000
192211;Motherboard;Gigabyte Z890 Aorus Elite WIFI7 ICE (LGA1851, Z890, DDR5, USB3.2 Gen2x2 Type-C, SATA3);2;55.700.000.000
193595;Motherboard;Gigabyte B850M AORUS ELITE WIFI6E ICE (AM5, AMD B850, DDR5, USB3.2 Type-C, SATA3);2;34.450.000.000
193618;Motherboard;Asus TUF GAMING B850-PLUS WIFI (AM5, AMD B850, DDR5, USB3.2 Type-C, SATA3);23;44.650.000.000
193850;Motherboard;MAXSUN Challenger A620A 2.5G (AM5, AMD A620, DDR5, USB3.2, SATA3);45;14.000.000.000
193853;Motherboard;MAXSUN Milestone B760M D5L (LGA1700, B760, DDR5, USB3.2, SATA3);184;17.350.000.000
193857;Motherboard;MAXSUN Terminator Z890-A WIFI (LGA1851, Z890, DDR5, USB3.2 Gen2x2 Type-C, SATA3);2;35.500.000.000
193858;Motherboard;MAXSUN eSport Z890M WIFI ICE (LGA1851, Z890, DDR5, USB3.2 Gen2 Type-C, SATA3);75;29.900.000.000
193860;Motherboard;MAXSUN Challenger Z890M WIFI ICE (LGA1851, Z890, DDR5, USB3.2 Gen2 Type-C, SATA3);143;27.490.000.000
194865;Motherboard;MAXSUN eSport B860M SNIPER WIFI (LGA1851, B860, DDR5, USB3.2, SATA3);23;24.500.000.000
194867;Motherboard;MAXSUN Terminator B860M (LGA1851, B860, DDR5, USB3.2 Gen2x2 Type-C, SATA3);18;21.500.000.000
194898;Motherboard;Asus B650M-AYW WIFI (AM5, AMD B650, DDR5, USB3.2 Type-C, SATA3);20;20.700.000.000
194903;Motherboard;Asus PRIME B550M-K ARGB (AM4, AMD Promontory B550, DDR4, USB3.2 Type-C, SATA3);61;12.750.000.000
195167;Motherboard;Gigabyte B550M K (AM4, AMD Promontory B550, DDR4, USB3.2, SATA3);25;11.700.000.000
195915;Motherboard;MSI PRO B850M-P WIFI (AM5, AMD B850, DDR5, USB3.2 Type-C, SATA3);14;28.770.000.000
197085;Motherboard;MAXSUN Challenger B850M-K (AM5, AMD B850, DDR5, USB3.2, SATA3);38;15.500.000.000
197087;Motherboard;MAXSUN eSport B850ITX WIFI ICE (AM5, AMD B850, DDR5, USB3.2 Type-C, SATA3);21;22.000.000.000
197091;Motherboard;MAXSUN B760M I-CAFE (LGA1700, B760, DDR5, USB3.2, SATA3);12;18.000.000.000
197700;Motherboard;Gigabyte B550M DS3H R2 (AM4, AMD Promontory B550, DDR4, USB3.2, SATA3);55;14.950.000.000
198657;Motherboard;MAXSUN Challenger B660M 2.5G (LGA1700, B660, DDR4, USB3.2, SATA3);28;12.300.000.000
198846;Motherboard;Asus X870 MAX GAMING WIFI7 W (AM5, AMD X870, DDR5, USB3.2 Type-C, SATA3);10;52.900.000.000
199902;Motherboard;Asus PRIME B650EM-A WIFI (AM5, AMD B650, DDR5, USB3.2 Type-C, SATA3);4;25.000.000.000
200124;Motherboard;ASRock B850 Rock WIFI 7 (AM5, AMD B850, DDR5, USB3.2 Type-C, SATA3);8;31.500.000.000
200840;Motherboard;MAXSUN B860M I-CAFE 5G (LGA1851, B860, DDR5, USB3.2, SATA3) (Bulk Package);40;19.500.000.000
200841;Motherboard;MAXSUN Challenger B860M 2.5G (LGA1851, B860, DDR5, USB3.2, SATA3);35;17.900.000.000
200842;Motherboard;MAXSUN Challenger H810M-K (LGA1851, H810, DDR5, USB3.2, SATA3);40;13.500.000.000
200843;Motherboard;MAXSUN Challenger B760M-F (LGA1700, B760, DDR4, USB3.2, SATA3);3;13.900.000.000
200844;Motherboard;MAXSUN Milestone H610M 2.5G V3 (LGA1700, H610, DDR4, USB3.2, SATA3) (Bulk Package);5;11.900.000.000
200845;Motherboard;MAXSUN Challenger H610M-H V1 (LGA1700, H610, DDR4, USB3.2, SATA3);12;8.900.000.000
