id;category;name;quantity;price
124090;PSU;Super Flower Leadex Platinum 2000W - SF-2000F14HP - 80+ PLATINUM - Full Modular - PCIe 5.1 Ready - 10 Years;2;49.900.000.000
155186;PSU;Seasonic Prime Gold GX-650 - 650W Full Modular - 80+ Gold Certified - 12 Years Warranty Replacement - Ready!!!;1;20.000.000.000
155943;PSU;1STPLAYER DK PREMIUM PS-500AX 80+ Bronze Certified - Japanese Main Capacitors - 5 Years Warranty Replacement;341;5.950.000.000
155944;PSU;1STPLAYER DK5.0 Full Modular 500W PS-500AX(BM) 80+ Bronze Certified - Japanese Main Capacitors - 3 Years Warranty Replacement;1;6.900.000.000
157924;PSU;1STPLAYER Gaming PSU BLACK SIR 450W PS-450BS - Efficiency Up To 80% - Most Valued Power- 2 Years Warranty;554;3.200.000.000
166346;PSU;1STPLAYER ARMOUR 650W Gaming PSU - PS-650AR 80+ Gold Certified - 5 Years Warranty Replacement;28;8.500.000.000
168648;PSU;be quiet! DARK POWER PRO 12 1500W - Fully Modular - 80+ Titanium Certified - 10 Years Warranty - Number 1 PSU in Germany - Free!!! be quiet! CPH-6610 - 12VHPWR PCI-E Adapter Cable;6;66.640.000.000
170802;PSU;Super Flower Leadex V Gold PRO 850W - SF-850F14TG V2.0 - 80 PLUS GOLD - Full Modular - 10 Years;6;20.500.000.000
171218;PSU;be quiet! SFX POWER 3 300W - 80+ Bronze Certified - 3 Years Warranty - Number 1 PSU in Germany;10;8.250.000.000
171608;PSU;Antec ATOM G750 - 750W 80+ Gold Certified - Semi Modular - 5 Years Warranty Replacement;159;10.500.000.000
173442;PSU;Super Flower Mega Series 700W - SF-700R12ST - 80 PLUS White - 5 Years;40;7.800.000.000
174678;PSU;GameMax PSU 700W VP-700 RGB Semi Modular - 80+ Bronze Certified;2;6.490.000.000
175160;PSU;LIAN LI SP750 BLACK SFX Series - 750W Fully Modular - 80+ Gold Certified - 5 Years Warranty Replacement;11;19.500.000.000
175194;PSU;CUBE GAMING Super Duty Mining PSU 1600W (BULK PACKAGE);18;16.150.000.000
177516;PSU;Antec High Current Gamer 850W - HCG850 Gold - 80+ Gold Certified - Fully Modular - 10 Years Warranty;3;21.500.000.000
179853;PSU;PRIME PREMIUM 850W - 80+ Gold Certified Flat Cable Design - Full Modular - Japanese Capacitors - 10 Years Warranty Replacement;84;12.500.000.000
182182;PSU;Antec Signature Series 1000W Titanium - ST1000 Titanium - 80+ Titanium Certified - Fully Modular - 10 Years Warranty Replacement;2;45.000.000.000
182389;PSU;LIAN LI SP850 BLACK SFX Series - 850W Fully Modular - 80+ Gold Certified - 5 Years Warranty Replacement;29;21.500.000.000
183256;PSU;1STPLAYER DK PREMIUM PS-800AX 80+ Bronze Certified - Japanese Main Capacitors - 3 Years Warranty Replacement;5;8.500.000.000
185168;PSU;Seasonic VERTEX GX ATX 3 GX-1000 1000W - Fully Modular - 80+ Gold Certified - ATX 3.1 and PCIe 5.1 Ready - 12 Years Warranty Replacement;9;35.000.000.000
185169;PSU;Seasonic VERTEX GX ATX 3 GX-1200 1200W - Fully Modular - 80+ Gold Certified - ATX3.1 and PCIe 5.1 Ready - 12 Years Warranty Replacement;5;39.000.000.000
185260;PSU;Antec NeoECO Gold Modular 850W - NE850G M - 80+ Gold Certified - Fully Modular - 7 Years Warranty;15;17.800.000.000
186131;PSU;Seasonic VERTEX PX ATX 3.1 PX-1200 1200W - Fully Modular - 80+ Platinum Certified - ATX 3.1 Compatible - PCIe 5.1 Ready - 12 Years Warranty Replacement;3;46.000.000.000
186529;PSU;NZXT C750 750W - 80 Plus Bronze - Non Modular;1;9.100.000.000
186986;PSU;1STPLAYER SFX 7.5 750W PS-750SFX 80+ Platinum Certified - Full Modular - All Japanese Capacitors - 7 Years Warranty Replacement - Include 12VHPWR PCI-E Adapter Cable;36;18.000.000.000
186987;PSU;1STPLAYER SFX 7.5 750W WHITE PS-750SFX 80+ Platinum Certified - Full Modular - All Japanese Capacitors - 7 Years Warranty Replacement - Include 12VHPWR PCI-E Adapter Cable;17;18.500.000.000
186988;PSU;1STPLAYER SFX 8.5 850W PS-850SFX 80+ Gold Certified - Full Modular - All Japanese Capacitors - 7 Years Warranty Replacement - Include 12VHPWR PCI-E Adapter Cable;14;19.800.000.000
187187;PSU;Antec META V550 - 550W (Efficiency 80%) - 120mm Silent Fan - 3 Years Warranty Replacement;193;4.250.000.000
187188;PSU;Antec NeoECO Gold Modular 850W - NE850G M ATX 3.0 - PCIe 5.0 Ready - 80+ Gold Certified - Full Modular - 10 Years Warranty;3;21.500.000.000
187235;PSU;Montech Beta 650W 80+ Bronze Flat Cable;8;7.100.000.000
187474;PSU;1STPLAYER NGDP ATX 3.1 1000W HA-1000BA4 80+ Gold Certified - Full Modular - ATX3.1 and PCIe 5.1 Ready - Embossed Cable - 10 Years Warranty Replacement;6;21.500.000.000
188854;PSU;Super Flower ZILLION DB 550W - SF-550Z12DB - 80 PLUS BRONZE - Flat Cable - 5 Years;210;6.900.000.000
188855;PSU;Super Flower ZILLION DB 650W -SF-650Z12DB - 80 PLUS BRONZE - Flat Cable - 5 Years;22;7.500.000.000
190532;PSU;Super Flower ZILLION DW 550W - SF-550Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years;162;6.000.000.000
190533;PSU;Super Flower ZILLION DW 650W - SF-650Z12DW - 80 PLUS WHITE - Flat Cable - 5 Years;152;6.800.000.000
190556;PSU;Antec ATOM G850 - 850W 80+ Gold Certified - Semi Modular - 5 Years Warranty Replacement;68;11.500.000.000
190557;PSU;Antec ATOM B750 - 750W 80+ Bronze Certified - Flat Cable - 3 Years Warranty Replacement;18;8.500.000.000
190872;PSU;LIAN LI EDGE850 850W BLACK with L-Shape Design - 80+ Platinum Certified - Built-in USB HUB - Cybenetics ATX 3.1 - PCIE 5.1 Ready - 10 Years Warranty Replacement;22;27.500.000.000
190876;PSU;LIAN LI EDGE1300 1300W WHITE with L-Shape Design - 80+ Platinum Certified - Built-in USB HUB - Cybenetics ATX 3.1 - PCIE 5.1 Ready - 10 Years Warranty Replacement;2;42.500.000.000
191286;PSU;1STPLAYER ACK Series 550W HA-550AC1 80+ Certified with Embossed Cable - Active PFC - 140MM Hydraulic Bearing - Premium Quality Capacitors - 5 Years Warranty;109;5.300.000.000
193488;PSU;Super Flower Leadex III Gold ATX3.1 850W - SF-850F14GE(GL) - 80+ GOLD Certified - Fully Modular - PCIe 5.1 Ready - Japanese Main Capacitors - 10 Years;40;16.900.000.000
193490;PSU;Antec GSK850 ATX3.1 850W - 80+ Gold Certified - Full Modular - ATX3.1 and PCIe 5.1 Ready - Japanese Main Capacitors - 7 Years Warranty;1;17.200.000.000
