id;category;name;quantity;price
159857;RAM;KLEVV BOLT X Series DDR4 PC25600 3200MHz 16GB (2x8GB) 16-18-18-38 - KD48GU880-32A160U;14;26.200.000.000
160261;RAM;KLEVV BOLT X Series DDR4 PC25600 3200MHz 32GB (2X16GB) 16-18-18-38 - KD4AGUA80-32A160U;13;50.000.000.000
162053;RAM;Gskill Ripjaws V Black DDR4 PC25600 3200MHz 16GB (2x8GB) 16-18-18-38 - F4-3200C16D-16GVKB;8;23.400.000.000
162991;RAM;Team Elite Plus Black DDR4 PC25600 3200MHz 16GB (2x8GB) 22-22-22-52 - TPD416G3200HC22DC01;7;22.090.000.000
166435;RAM;V-GeN Rescue DDR4 4GB PC21000;1;5.250.000.000
167511;RAM;Transcend JetRam DDR4 PC25600 3200Mhz 8GB;25;11.590.000.000
169332;RAM;Team T-Create Classic 10L DDR4 PC25600 3200MHz 16GB (2x8GB) 22-22-22-52 - TTCCD416G3200HC22DC01;8;21.500.000.000
170697;RAM;Avexir DDR4 Budget 2400MHZ 8GB (1x8GB) Single Channel - AVD4UZ224001708G-1B - COMPATIBLE WITH INTEL & AMD RYZEN;3;5.140.000.000
173209;RAM;Kingston FURY Beast DDR4 PC28800 3600MHz 16GB (2x8GB) 17-21-21 - KF436C17BBK2/16;12;29.900.000.000
174248;RAM;Apacer DDR4 PC25600 3200MHz Dual Channel 16GB (2x8GB) 16-20-20-38 - NOX Gaming Series;107;21.500.000.000
177635;RAM;Patriot Viper Elite II DDR4 PC25600 3200MHz 16GB (2x8GB) 18-22-22-42 - PVE2416G320C8K;2;25.000.000.000
182845;RAM;GEIL DDR4 ORION PC25600 3200Mhz Dual Channel 16GB (2X8GB) GAOG416GB3200C22DC (Support AMD & INTEL);56;21.000.000.000
184715;RAM;CUBE GAMING Saber DDR4 3200MHz PC25600 Dual Channel 16GB (2x8GB) - Chipset By Micron;1;18.500.000.000
184983;RAM;ADATA XPG SPECTRIX D35G RGB White Edition DDR4 PC25600 3200MHz 16GB (2x8GB) CL16-20-20 - AX4U32008G16A-DTWHD35G;16;29.500.000.000
186567;RAM;KLEVV CRAS V RGB Obsidian Black DDR5 PC57600 7200MHz 32GB (2x16GB) 34-44-44-84 - KD5AGUA80-72B340G;6;88.800.000.000
187964;RAM;KLEVV CRAS V RGB Obsidian Black DDR5 PC48000 6000MHz 48GB (2x24GB) 30-36-36-76 - KD5KGUD80-60A300G;3;113.300.000.000
188475;RAM;KLEVV CRAS V RGB Brilliant White DDR5 PC57600 7200MHz 32GB (2x16GB) 34-44-44-84 - KD5AGUA80-72B340J;14;88.800.000.000
