id;category;name;quantity;price
152531;VGA;GALAX Geforce GTX 960 EXOC (EXTREME OVERCLOCK) 4GB DDR5 - WHITE EDITION;1;19.000.000.000
161565;VGA;GALAX GeForce GT 710 2GB DDR3 - Garansi 3 Thn;158;5.650.000.000
164503;VGA;XFX Radeon RX 5600 XT 6GB GDDR6 THICC II Pro - Dual Fan - RX-56XT6DF46 - Garansi 1Thn;1;25.500.000.000
173634;VGA;XFX Radeon RX 6900 XT RGB EKWB Waterblock 16GB DDR6 SPEEDSTER ZERO - RX-69XTAWBD9;2;85.000.000.000
176990;VGA;XFX Radeon RX 6600 XT BLACK 8GB DDR6 SPEEDSTER QICK308 - TRIPLE FAN - RX-66XT8LBDQ [OEM Package] - Garansi 1Thn;22;49.900.000.000
178589;VGA;XFX Radeon RX 6600 XT CORE 8GB DDR6 SPEEDSTER SWFT210 - RX-66XT8DFDQ [Brown Box] - Garansi 1Thn;2;46.900.000.000
181242;VGA;GALAX GeForce RTX 3060 8GB GDDR6 (1-Click OC) - DUAL FAN - Garansi 3 Thn;1;51.500.000.000
183836;VGA;Arktek Radeon RX 580 8GB GDDR5 Cyclops - Garansi 1Thn;4;16.500.000.000
183837;VGA;Arktek Geforce GTX 1660 SUPER 6GB GDDR6 Matrix - Garansi 3 Thn;1;28.500.000.000
185853;VGA;Sapphire PULSE Radeon RX 7800 XT 16GB GDDR6 Gaming;1;87.000.000.000
187752;VGA;GALAX GeForce RTX 3050 6GB GDDR6 EX (1-Click OC) - DUAL FAN - Garansi 3 Thn;1;38.000.000.000
190105;VGA;PELADN Radeon RX 580 8GB GDDR5 KaiTian - DUAL FAN - Garansi 2 Thn;278;20.500.000.000
191234;VGA;XFX Radeon RX 6700 XT BLACK 12GB GDDR6 SPEEDSTER MERC319 - RX-67XTYTBDP;1;63.650.000.000
191330;VGA;GALAX GeForce RTX 4070 SUPER 12GB GDDR6X 2X (1-Click OC) - Lighting EFFECT - DUAL FAN - [Factory Brand New - No Box] - Garansi 3 Thn;1;102.000.000.000
191462;VGA;Gigabyte GeForce RTX 3050 8GB GDDR6 Windforce OC V2 - GV-N3050WF2OCV2-8GD;7;48.500.000.000
193880;VGA;MAXSUN Intel ARC B580 12GB GDDR6 iCraft 12G (White Edition) - ARGB LIGHTING - TRIPLE FAN - Garansi 3 Thn;5;58.500.000.000
194014;VGA;Inno3D GeForce RTX 5080 16GB GDDR7 X3 - Enormous Cooler with TRIPLE FAN - Garansi 3 Thn;25;235.000.000.000
194050;VGA;Asus GeForce RTX 5090 32GB GDDR7 ROG Astral OC Edition;1;756.900.000.000
194358;VGA;Asus GeForce RTX 5070 Ti 16GB GDDR7 TUF Gaming OC Edition;5;198.500.000.000
194468;VGA;Zotac GeForce RTX 3050 6GB GDDR6 Twin Edge OC;79;35.850.000.000
194605;VGA;Inno3D GeForce RTX 5070 12GB GDDR7 TWIN X2 - DUAL FAN - Garansi 3 Thn;38;118.000.000.000
194780;VGA;Gigabyte GeForce RTX 3050 6GB GDDR6 Windforce OC V2 - GV-N3050WF2OCV2-6GD;12;38.900.000.000
195128;VGA;GALAX GeForce RTX 5060 Ti 8GB GDDR7 (1-Click OC) V2 - Lighting EFFECT - DUAL FAN - Garansi 3 Thn;26;80.500.000.000
195151;VGA;Inno3D GeForce RTX 5060 Ti 8GB GDDR7 TWIN X2 - DUAL FAN - Garansi 3 Thn;135;79.500.000.000
195152;VGA;Inno3D GeForce RTX 5060 Ti 8GB GDDR7 TWIN X2 OC - DUAL FAN - Garansi 3 Thn;37;83.300.000.000
195153;VGA;Inno3D GeForce RTX 5060 Ti 8GB GDDR7 TWIN X2 OC WHITE - DUAL FAN - Garansi 3 Thn;3;85.500.000.000
195154;VGA;Inno3D GeForce RTX 5060 Ti 16GB GDDR7 TWIN X2 - DUAL FAN - Garansi 3 Thn;6;99.900.000.000
195155;VGA;Inno3D GeForce RTX 5060 Ti 16GB GDDR7 TWIN X2 OC - DUAL FAN - Garansi 3 Thn;35;107.500.000.000
195668;VGA;Sapphire PULSE Radeon RX 9060 XT 16GB GDDR6 Gaming OC - DUAL FAN - Garansi 2 Thn;234;79.900.000.000
195669;VGA;Inno3D GeForce RTX 5060 8GB GDDR7 TWIN X2 - DUAL FAN - Garansi 3 Thn;80;68.500.000.000
195671;VGA;Sapphire PURE Radeon RX 9060 XT 16GB GDDR6 Gaming OC - DUAL FAN - Garansi 2 Thn;152;85.500.000.000
195937;VGA;GALAX GeForce RTX 5060 8GB GDDR7 (1-Click OC) WHITE V2 - Lighting EFFECT - DUAL FAN - Garansi 3 Thn;5;69.500.000.000
195944;VGA;Sapphire NITRO+ Radeon RX 9060 XT 16GB GDDR6 Gaming OC - TRIPLE FAN - Garansi 2 Thn;103;87.500.000.000
195974;VGA;Inno3D GeForce RTX 5090 32GB GDDR7 X3 - Enormous Cooler with TRIPLE FAN - Garansi 3 Thn;5;880.000.000.000
196317;VGA;Inno3D GeForce RTX 5060 8GB GDDR7 TWIN X2 OC - DUAL FAN - Garansi 3 Thn;1;69.500.000.000
198228;VGA;Asus GeForce RTX 5060 8GB GDDR7 Dual White OC Edition;8;71.500.000.000
198380;VGA;Asus Radeon RX 9060 XT 16GB GDDR6 Dual;2;99.250.000.000
198930;VGA;Inno3D GeForce RTX 5060 8GB GDDR7 TWIN X2 OC V2 - DUAL FAN - Garansi 3 Thn;45;69.500.000.000
200882;VGA;Arktek Radeon RX 5600 12GB GDDR6 Cyclops - DUAL FAN - Garansi 2 Thn;273;35.500.000.000
200883;VGA;Arktek Radeon RX 6500 XT 4GB GDDR6 Cyclops - DUAL FAN - Garansi 2 Thn;65;27.500.000.000
201537;VGA;Sapphire PULSE Radeon RX 9070 GRE 12GB GDDR6 Gaming OC- DUAL FAN - Garansi 2 Thn;19;103.000.000.000
